#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление,Параметр:Заказной код:Расход
,RPB1CP-MU-G-HOS-4-FPA-0-14-O2,"G 3/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-14 л/мин
,RPB1CP-MU-G-HOS-4-FPA-0-25-O2,"G 3/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-25 л/мин
,RPB1CP-MU-G-HOS-4-FPA-0-40-O2,"G 3/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-40 л/мин
,RPB1DP-MU-F4N-HOS-1.5-FPA-0-14-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",1.5 бар,0-14 л/мин
,RPB1DP-MU-F4N-HOS-1.5-FPA-0-25-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",1.5 бар,0-25 л/мин
,RPB1DP-MU-F4N-HOS-1.5-FPA-0-40-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",1.5 бар,0-40 л/мин
,RPB1DP-MU-F4N-HOS-4-FPA-0-14-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-14 л/мин
,RPB1DP-MU-F4N-HOS-4-FPA-0-25-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-25 л/мин
,RPB1DP-MU-F4N-HOS-4-FPA-0-40-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-40 л/мин
,RPB1CP-MW-G-HOS-4-FPA-0-14-O2,"G 3/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-14 л/мин
,RPB1CP-MW-G-HOS-4-FPA-0-25-O2,"G 3/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-25 л/мин
,RPB1CP-MW-G-HOS-4-FPA-0-40-O2,"G 3/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-40 л/мин
,RPB1DP-MW-F4N-HOS-1.5-FPA-0-14-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",1.5 бар,0-14 л/мин
,RPB1DP-MW-F4N-HOS-1.5-FPA-0-25-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",1.5 бар,0-25 л/мин
,RPB1DP-MW-F4N-HOS-1.5-FPA-0-40-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",1.5 бар,0-40 л/мин
,RPB1DP-MW-F4N-HOS-4-FPA-0-14-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-14 л/мин
,RPB1DP-MW-F4N-HOS-4-FPA-0-25-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-25 л/мин
,RPB1DP-MW-F4N-HOS-4-FPA-0-40-O2,"NPT 1/4""","Наруж. G1/4"" (ёлочка)",4 бар,0-40 л/мин
