#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Корпус,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Блок питания
,TLF-23-T-1-0-1-1-2,0-100 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-23-T-1-0-2-1-1,0-100 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-23-T-1-0-2-1-2,0-100 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-00-A-1-W-1-1-1,0-10 нсм³/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-00-A-1-W-1-1-2,0-10 нсм³/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-00-A-1-W-2-1-1,0-10 нсм³/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-00-A-1-W-2-1-2,0-10 нсм³/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-00-A-1-B-1-1-1,0-10 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-00-A-1-B-1-1-2,0-10 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-00-A-1-B-2-1-1,0-10 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-00-A-1-B-2-1-2,0-10 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-00-T-1-W-1-1-1,0-10 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-00-T-1-W-1-1-2,0-10 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-00-T-1-W-2-1-1,0-10 нсм³/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-00-T-1-W-2-1-2,0-10 нсм³/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-00-T-1-B-1-1-1,0-10 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-00-T-1-B-1-1-2,0-10 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-00-T-1-B-2-1-1,0-10 нсм³/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-00-T-1-B-2-1-2,0-10 нсм³/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-01-A-1-W-1-1-1,0-20 нсм³/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-01-A-1-W-1-1-2,0-20 нсм³/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-01-A-1-W-2-1-1,0-20 нсм³/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-01-A-1-W-2-1-2,0-20 нсм³/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-01-A-1-B-1-1-1,0-20 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-01-A-1-B-1-1-2,0-20 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-01-A-1-B-2-1-1,0-20 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-01-A-1-B-2-1-2,0-20 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-01-T-1-W-1-1-1,0-20 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-01-T-1-W-1-1-2,0-20 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-01-T-1-W-2-1-1,0-20 нсм³/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-01-T-1-W-2-1-2,0-20 нсм³/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-01-T-1-B-1-1-1,0-20 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-01-T-1-B-1-1-2,0-20 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-01-T-1-B-2-1-1,0-20 нсм³/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-01-T-1-B-2-1-2,0-20 нсм³/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-02-A-1-W-1-1-1,0-50 нсм³/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-02-A-1-W-1-1-2,0-50 нсм³/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-02-A-1-W-2-1-1,0-50 нсм³/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-02-A-1-W-2-1-2,0-50 нсм³/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-02-A-1-B-1-1-1,0-50 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-02-A-1-B-1-1-2,0-50 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-02-A-1-B-2-1-1,0-50 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-02-A-1-B-2-1-2,0-50 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-02-T-1-W-1-1-1,0-50 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-02-T-1-W-1-1-2,0-50 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-02-T-1-W-2-1-1,0-50 нсм³/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-02-T-1-W-2-1-2,0-50 нсм³/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-02-T-1-B-1-1-1,0-50 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-02-T-1-B-1-1-2,0-50 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-02-T-1-B-2-1-1,0-50 нсм³/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-02-T-1-B-2-1-2,0-50 нсм³/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-03-A-1-W-1-1-1,0-100 нсм³/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-03-A-1-W-1-1-2,0-100 нсм³/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-03-A-1-W-2-1-1,0-100 нсм³/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-03-A-1-W-2-1-2,0-100 нсм³/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-03-A-1-B-1-1-1,0-100 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-03-A-1-B-1-1-2,0-100 нсм³/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-03-A-1-B-2-1-1,0-100 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-03-A-1-B-2-1-2,0-100 нсм³/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-03-T-1-W-1-1-1,0-100 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-03-T-1-W-1-1-2,0-100 нсм³/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-03-T-1-W-2-1-1,0-100 нсм³/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-03-T-1-W-2-1-2,0-100 нсм³/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-03-T-1-B-1-1-1,0-100 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-03-T-1-B-1-1-2,0-100 нсм³/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-03-T-1-B-2-1-1,0-100 нсм³/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
