#,Заказной код,Параметр:Заказной код:Тип,Параметр:Заказной код:Ду,Параметр:Заказной код:Фланец,Параметр:Заказной код:Уплотн. Кольцо,Параметр:Заказной код:Шкала
,FB-W-1-4-3-2-N,С лопаткой,40A,DIN PN10,Гортекс,нет
,FB-W-1-4-4-2-N,С лопаткой,40A,DIN PN16,Гортекс,нет
,FB-N-1-4-3-1-N,Без лопатки,40A,DIN PN10,Тефлон,нет
,FB-N-1-4-4-1-N,Без лопатки,40A,DIN PN16,Тефлон,нет
,FB-N-1-4-3-2-N,Без лопатки,40A,DIN PN10,Гортекс,нет
,FB-N-1-4-4-2-N,Без лопатки,40A,DIN PN16,Гортекс,нет
,FB-W-1-5-3-1-N,С лопаткой,50A,DIN PN10,Тефлон,нет
,FB-W-1-5-4-1-N,С лопаткой,50A,DIN PN16,Тефлон,нет
,FB-W-1-5-3-2-N,С лопаткой,50A,DIN PN10,Гортекс,нет
,FB-W-1-5-4-2-N,С лопаткой,50A,DIN PN16,Гортекс,нет
,FB-N-1-5-3-1-N,Без лопатки,50A,DIN PN10,Тефлон,нет
,FB-N-1-5-4-1-N,Без лопатки,50A,DIN PN16,Тефлон,нет
,FB-N-1-5-3-2-N,Без лопатки,50A,DIN PN10,Гортекс,нет
,FB-N-1-5-4-2-N,Без лопатки,50A,DIN PN16,Гортекс,нет
,FB-W-1-6-3-1-N,С лопаткой,65A,DIN PN10,Тефлон,нет
,FB-W-1-6-4-1-N,С лопаткой,65A,DIN PN16,Тефлон,нет
,FB-W-1-6-3-2-N,С лопаткой,65A,DIN PN10,Гортекс,нет
,FB-W-1-6-4-2-N,С лопаткой,65A,DIN PN16,Гортекс,нет
,FB-N-1-6-3-1-N,Без лопатки,65A,DIN PN10,Тефлон,нет
,FB-N-1-6-4-1-N,Без лопатки,65A,DIN PN16,Тефлон,нет
,FB-N-1-6-3-2-N,Без лопатки,65A,DIN PN10,Гортекс,нет
,FB-N-1-6-4-2-N,Без лопатки,65A,DIN PN16,Гортекс,нет
,FB-W-1-7-3-1-N,С лопаткой,80A,DIN PN10,Тефлон,нет
,FB-W-1-7-4-1-N,С лопаткой,80A,DIN PN16,Тефлон,нет
,FB-W-1-7-3-2-N,С лопаткой,80A,DIN PN10,Гортекс,нет
,FB-W-1-7-4-2-N,С лопаткой,80A,DIN PN16,Гортекс,нет
,FB-N-1-7-3-1-N,Без лопатки,80A,DIN PN10,Тефлон,нет
,FB-N-1-7-4-1-N,Без лопатки,80A,DIN PN16,Тефлон,нет
,FB-N-1-7-3-2-N,Без лопатки,80A,DIN PN10,Гортекс,нет
,FB-N-1-7-4-2-N,Без лопатки,80A,DIN PN16,Гортекс,нет
,FB-W-1-8-3-1-N,С лопаткой,100A,DIN PN10,Тефлон,нет
,FB-W-1-8-4-1-N,С лопаткой,100A,DIN PN16,Тефлон,нет
,FB-W-1-8-3-2-N,С лопаткой,100A,DIN PN10,Гортекс,нет
,FB-W-1-8-4-2-N,С лопаткой,100A,DIN PN16,Гортекс,нет
,FB-N-1-8-3-1-N,Без лопатки,100A,DIN PN10,Тефлон,нет
,FB-N-1-8-4-1-N,Без лопатки,100A,DIN PN16,Тефлон,нет
,FB-N-1-8-3-2-N,Без лопатки,100A,DIN PN10,Гортекс,нет
,FB-N-1-8-4-2-N,Без лопатки,100A,DIN PN16,Гортекс,нет
,FB-W-1-9-3-1-N,С лопаткой,125A,DIN PN10,Тефлон,нет
,FB-W-1-9-3-2-N,С лопаткой,125A,DIN PN10,Гортекс,нет
,FB-N-1-9-3-1-N,Без лопатки,125A,DIN PN10,Тефлон,нет
,FB-N-1-9-3-2-N,Без лопатки,125A,DIN PN10,Гортекс,нет
,FB-W-1-10-3-1-N,С лопаткой,150A,DIN PN10,Тефлон,нет
,FB-W-1-10-3-2-N,С лопаткой,150A,DIN PN10,Гортекс,нет
,FB-N-1-10-3-1-N,Без лопатки,150A,DIN PN10,Тефлон,нет
,FB-N-1-10-3-2-N,Без лопатки,150A,DIN PN10,Гортекс,нет
,FB-W-1-11-3-1-N,С лопаткой,200A,DIN PN10,Тефлон,нет
,FB-W-1-11-3-2-N,С лопаткой,200A,DIN PN10,Гортекс,нет
,FB-N-1-11-3-1-N,Без лопатки,200A,DIN PN10,Тефлон,нет
,FB-N-1-11-3-2-N,Без лопатки,200A,DIN PN10,Гортекс,нет
