#,Серия,Параметр:Серия:Серия,Форма корпуса,Параметр:Форма корпуса:Форма корпуса,Тип подсоединения,Параметр:Тип подсоединения:Тип подсоединения,Размер подсоединения,Параметр:Размер подсоединения:Размер подсоединения,Материал седла,Параметр:Материал седла:Материал седла,Установка на панель,Параметр:Установка на панель:Установка на панель,Сбросной клапан,Параметр:Сбросной клапан:Сбросной клапан,Использование для кислых сред,Параметр:Использование для кислых сред:Использование для кислых сред,Материал,Параметр:Материал:Материал,Серия привода,Параметр:Серия привода:Серия привода
,SO1B,SO1B,-,Проходной,H,Трубный фитинг Hy-Lok,2T,1/8,-,Армированный PTFE,-,Нет,-,Отсутствует,-,Нет,-,Нержавеющая сталь S316 (по умолчанию),APB-O,Пневмопривод нормально открытый
,SO2B,SO2B,2,2-х ходовой,M,Наружная резьба,4T,1/4,PK,PEEK,M,Возможна,DV,Сброс выхода,SOG,По стандарту NACE MR-01-75,BRAS,Латунь,,
,SO3B,SO3B,3,3-х ходовой,F,Внутренняя резьба,6T,3/8,RC,Углеродистый PTFE,,,UV,Сброс входа,,,,,,
,,,,,SW,Сварка внахлёст,8T,1/2,UH,UHMWPE,,,,,,,,,,
,,,,,BW,Сварка встык,12T,3/4,,,,,,,,,,,,
,,,,,,,16T,1,,,,,,,,,,,,
,,,,,,,3M,Hy-Lok 3mm,,,,,,,,,,,,
,,,,,,,6M,Hy-Lok 6mm,,,,,,,,,,,,
,,,,,,,10M,Hy-Lok 10mm,,,,,,,,,,,,
,,,,,,,12M,Hy-Lok 12mm,,,,,,,,,,,,
,,,,,,,18M,Hy-Lok 18mm,,,,,,,,,,,,
,,,,,,,25M,Hy-Lok 25mm,,,,,,,,,,,,
,,,,,,,2N,1/8,,,,,,,,,,,,
,,,,,,,4N,1/4,,,,,,,,,,,,
,,,,,,,6N,3/8,,,,,,,,,,,,
,,,,,,,8N,1/2,,,,,,,,,,,,
,,,,,,,12N,3/4,,,,,,,,,,,,
,,,,,,,16N,1,,,,,,,,,,,,
