#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,SVH2-H-12M-SAPW,Hy-Lok 12mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-6M-G-SAPW,Hy-Lok 6mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-8M-G-SAPW,Hy-Lok 8mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-10M-G-SAPW,Hy-Lok 10mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-12M-G-SAPW,Hy-Lok 12mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-6M-SAPW-4P,Hy-Lok 6mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-8M-SAPW-4P,Hy-Lok 8mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-10M-SAPW-4P,Hy-Lok 10mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-12M-SAPW-8P,Hy-Lok 12mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-6M-G-SAPW-4P,Hy-Lok 6mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-8M-G-SAPW-4P,Hy-Lok 8mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-10M-G-SAPW-4P,Hy-Lok 10mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-12M-G-SAPW-8P,Hy-Lok 12mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-A-8M-SAPW,Hy-Lok 8mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-A-12M-SAPW,Hy-Lok 12mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-A-8M-G-SAPW,Hy-Lok 8mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-A-12M-G-SAPW,Hy-Lok 12mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-A-8M-SAPW-4P,Hy-Lok 8mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-A-12M-SAPW-8P,Hy-Lok 12mm,"0,52",Ø5мм ,"PTFE (стандарт)",414бар,-54°С,232°C
,SVH2-H-A-8M-G-SAPW-4P,Hy-Lok 8mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
,SVH2-H-A-12M-G-SAPW-8P,Hy-Lok 12mm,"0,52",Ø5мм ,"Grafoil",414бар,-54°С,648°C
