#,Серия,Параметр:Серия:Серия,Условное обозначение:Серия:Cерия,Форма корпуса,Параметр:Форма корпуса:Форма корпуса,Условное обозначение:Форма корпуса:Форма корпуса,Тип подсоединения,Параметр:Тип подсоединения:Тип подсоединения,Условное обозначение:Тип подсоединения:Тип подсоединения,Материал седла,Параметр:Материал седла:Материал седла,Условное обозначение:Материал седла:Материал седла,Размеры подсоединений,Параметр:Размеры подсоединений:Размеры подсоединений,Условное обозначение:Размеры подсоединений:Размеры подсоединений,Крепление на панель,Параметр:Крепление на панель:Крепление на панель,Условное обозначение:Крепление на панель:Крепление на панель,Рукоятка,Параметр:Рукоятка:Рукоятка,Условное обозначение:Рукоятка:Рукоятка,Применение для кислых сред,Параметр:Применение для кислых сред:Применение для кислых сред,Условное обозначение:Применение для кислых сред:Применение для кислых сред,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал,Серия привода,Параметр:Серия привода:Серия привода,Условное обозначение:Серия привода:Серия привода
,H2B,H2B,Ду 12.7мм,-,-,Проходной 2-х ходовой,H,H,Трубный фитинг Hy-Lok,PK-PT,PK-PT,Для H2B и H3B,4N,4N,NPT 1/4,ML,ML,Есть,-,-,Стандартная,-,-,Отсутствует (стандарт),-,S316,Нержавеющая сталь S316 (по умолчанию),-,-,Отсутствует
,H3B,H3B,Ду 19.0мм,A,A,Угловой 2-х ходовой,M,M,Наружная резьба,,,,6N,6N,NPT 3/8,,,,O,O,Овальная,SOG,SOG,NACE MR-01-75,MONE,Монель,,APB-C,APB-C,APB-C пневмопривод нормально закрытый
,,,,3S,3S,3-х ходовой вход сбоку,F,F,Внутренняя резьба,,,,8N,8N,NPT 1/2,,,,,,,,,,,,,APB-O,APB-O,APB-O пневмопривод нормально открытый
,,,,3B,3B,3-х ходовой вход снизу,,,,,,,12N,12N,NPT 3/4,,,,,,,,,,,,,AEB-24DC,AEB-24DC,AEB-24DC электропривод 24v
,,,,,,,,,,,,,16N,16N,NPT 1,,,,,,,,,,,,,AEB-220AC,AEB-220AC,AEB-220AC электропривод 220V
,,,,,,,,,,,,,4R,4R,RT (BSPT) 1/4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6R,6R,RT (BSPT) 3/8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8R,8R,RT (BSPT) 1/2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12R,12R,RT (BSPT) 3/4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,16R,16R,RT (BSPT) 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4G,4G,G (BSPP) 1/4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6G,6G,G (BSPP) 3/8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8G,8G,G (BSPP) 1/2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12G,12G,G (BSPP) 3/4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,16G,16G,G (BSPP) 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6M,6M,Hy-Lok 6mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8M,8M,Hy-Lok 8mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10M,10M,Hy-Lok 10mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12M,12M,Hy-Lok 12mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14M,14M,Hy-Lok 14mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,16M,16M,Hy-Lok 16mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18M,18M,Hy-Lok 18mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20M,20M,Hy-Lok 20mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,25M,25M,Hy-Lok 25mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4T,4T,Hy-Lok 1/4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6T,6T,Hy-Lok 3/8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8T,8T,Hy-Lok 1/2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10T,10T,Hy-Lok 5/8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12T,12T,Hy-Lok 3/4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,16T,16T,Hy-Lok 1,,,,,,,,,,,,,,,
