#;Заказной код;Наруж. диаметр трубы (D);Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D);Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D1);Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D);Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D1);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;;"""10-6""";Hy-Lok 5/8;Hy-Lok 3/8;Подсоединение;Подсоединение;;;
;;"""10-8""";Hy-Lok 5/8;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;"""12-4""";Hy-Lok 3/4;Hy-Lok 1/4;Подсоединение;Подсоединение;;;
;;"""12-6""";Hy-Lok 3/4;Hy-Lok 3/8;Подсоединение;Подсоединение;;;
;;"""12-8""";Hy-Lok 3/4;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;"""12-10""";Hy-Lok 3/4;Hy-Lok 5/8;Подсоединение;Подсоединение;;;
;;"""16-8""";Hy-Lok 1;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;"""16-12""";Hy-Lok 1;Hy-Lok 3/4;Подсоединение;Подсоединение;;;
;;3M-2M;Hy-Lok 3mm;Hy-Lok 2mm;Подсоединение;Подсоединение;;;
;;4M-3M;Hy-Lok 4mm;Hy-Lok 3mm;Подсоединение;Подсоединение;;;
;;6M-3M;Hy-Lok 6mm;Hy-Lok 3mm;Подсоединение;Подсоединение;;;
;;6M-4M;Hy-Lok 6mm;Hy-Lok 4mm;Подсоединение;Подсоединение;;;
;;8M-3M;Hy-Lok 8mm;Hy-Lok 3mm;Подсоединение;Подсоединение;;;
;;8M-6M;Hy-Lok 8mm;Hy-Lok 6mm;Подсоединение;Подсоединение;;;
;;10M-3M;Hy-Lok 10mm;Hy-Lok 3m;Подсоединение;Подсоединение;;;
;;10M-6M;Hy-Lok 10mm;Hy-Lok 6m;Подсоединение;Подсоединение;;;
;;10M-8M;Hy-Lok 10mm;Hy-Lok 8m;Подсоединение;Подсоединение;;;
;;12M-3M;Hy-Lok 12mm;Hy-Lok 3m;Подсоединение;Подсоединение;;;
;;12M-6M;Hy-Lok 12mm;Hy-Lok 6m;Подсоединение;Подсоединение;;;
;;12M-8M;Hy-Lok 12mm;Hy-Lok 8m;Подсоединение;Подсоединение;;;
;;12M-10M;Hy-Lok 12mm;Hy-Lok 10m;Подсоединение;Подсоединение;;;
;;14M-6M;Hy-Lok 14mm;Hy-Lok 6m;Подсоединение;Подсоединение;;;
;;14M-8M;Hy-Lok 14mm;Hy-Lok 8m;Подсоединение;Подсоединение;;;
;;14M-10M;Hy-Lok 14mm;Hy-Lok 10m;Подсоединение;Подсоединение;;;
;;14M-12M;Hy-Lok 14mm;Hy-Lok 12m;Подсоединение;Подсоединение;;;
;;15M-14M;Hy-Lok 15mm;Hy-Lok 14m;Подсоединение;Подсоединение;;;
;;16M-6M;Hy-Lok 16mm;Hy-Lok 6m;Подсоединение;Подсоединение;;;
;;16M-10M;Hy-Lok 16mm;Hy-Lok 10m;Подсоединение;Подсоединение;;;
;;16M-12M;Hy-Lok 16mm;Hy-Lok 12m;Подсоединение;Подсоединение;;;
;;18M-12M;Hy-Lok 18mm;Hy-Lok 12m;Подсоединение;Подсоединение;;;
;;18M-14M;Hy-Lok 18mm;Hy-Lok 14m;Подсоединение;Подсоединение;;;
;;18M-16M;Hy-Lok 18mm;Hy-Lok 16m;Подсоединение;Подсоединение;;;
;;20M-3M;Hy-Lok 20mm;Hy-Lok 3m;Подсоединение;Подсоединение;;;
;;20M-10M;Hy-Lok 20mm;Hy-Lok 10m;Подсоединение;Подсоединение;;;
;;20M-12M;Hy-Lok 20mm;Hy-Lok 12m;Подсоединение;Подсоединение;;;
;;20M-16M;Hy-Lok 20mm;Hy-Lok 16m;Подсоединение;Подсоединение;;;
;;22M-10M;Hy-Lok 22mm;Hy-Lok 10m;Подсоединение;Подсоединение;;;
;;22M-12M;Hy-Lok 22mm;Hy-Lok 12m;Подсоединение;Подсоединение;;;
;;22M-18M;Hy-Lok 22mm;Hy-Lok 18m;Подсоединение;Подсоединение;;;
;;22M-20M;Hy-Lok 22mm;Hy-Lok 20m;Подсоединение;Подсоединение;;;
;;25M-8M;Hy-Lok 25mm;Hy-Lok 8m;Подсоединение;Подсоединение;;;
;;25M-10M;Hy-Lok 25mm;Hy-Lok 10m;Подсоединение;Подсоединение;;;
;;25M-12M;Hy-Lok 25mm;Hy-Lok 12m;Подсоединение;Подсоединение;;;
;;25M-16M;Hy-Lok 25mm;Hy-Lok 16m;Подсоединение;Подсоединение;;;
;;25M-18M;Hy-Lok 25mm;Hy-Lok 18m;Подсоединение;Подсоединение;;;
;;25M-20M;Hy-Lok 25mm;Hy-Lok 20m;Подсоединение;Подсоединение;;;
;;25M-22M;Hy-Lok 25mm;Hy-Lok 22m;Подсоединение;Подсоединение;;;
;;32M-20M;Hy-Lok 32mm;Hy-Lok 20m;Подсоединение;Подсоединение;;;
;;32M-25M;Hy-Lok 32mm;Hy-Lok 25m;Подсоединение;Подсоединение;;;
;;38M-25M;Hy-Lok 38mm;Hy-Lok 25m;Подсоединение;Подсоединение;;;
;;50M-32M;Hy-Lok 50mm;Hy-Lok 32m;Подсоединение;Подсоединение;;;
;;50M-38M;Hy-Lok 50mm;Hy-Lok 38m;Подсоединение;Подсоединение;;;
;;3M-1;Hy-Lok 3mm;Hy-Lok 1/16;Подсоединение;Подсоединение;;;
;;3M-2;Hy-Lok 3mm;Hy-Lok 1/8;Подсоединение;Подсоединение;;;
;;3M-4;Hy-Lok 3mm;Hy-Lok 1/4;Подсоединение;Подсоединение;;;
;;6M-1;Hy-Lok 6mm;Hy-Lok 1/16;Подсоединение;Подсоединение;;;
;;6M-2;Hy-Lok 6mm;Hy-Lok 1/8;Подсоединение;Подсоединение;;;
;;6M-4;Hy-Lok 6mm;Hy-Lok 1/4;Подсоединение;Подсоединение;;;
;;6M-6;Hy-Lok 6mm;Hy-Lok 3/8;Подсоединение;Подсоединение;;;
;;6M-8;Hy-Lok 6mm;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;8M-2;Hy-Lok 8mm;Hy-Lok 1/8;Подсоединение;Подсоединение;;;
;;8M-4;Hy-Lok 8mm;Hy-Lok 1/4;Подсоединение;Подсоединение;;;
;;8M-6;Hy-Lok 8mm;Hy-Lok 3/8;Подсоединение;Подсоединение;;;
;;8M-8;Hy-Lok 8mm;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;8M-10;Hy-Lok 8mm;Hy-Lok 5/8;Подсоединение;Подсоединение;;;
;;10M-2;Hy-Lok 10mm;Hy-Lok 1/8;Подсоединение;Подсоединение;;;
;;10M-4;Hy-Lok 10mm;Hy-Lok 1/4;Подсоединение;Подсоединение;;;
;;10M-6;Hy-Lok 10mm;Hy-Lok 3/8;Подсоединение;Подсоединение;;;
;;10M-8;Hy-Lok 10mm;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;12M-4;Hy-Lok 12mm;Hy-Lok 1/4;Подсоединение;Подсоединение;;;
;;12M-6;Hy-Lok 12mm;Hy-Lok 3/8;Подсоединение;Подсоединение;;;
;;12M-8;Hy-Lok 12mm;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;12M-12;Hy-Lok 12mm;Hy-Lok 3/4;Подсоединение;Подсоединение;;;
;;20M-16;Hy-Lok 20mm;Hy-Lok 1;Подсоединение;Подсоединение;;;
;;25M-16;Hy-Lok 25mm;Hy-Lok 1;Подсоединение;Подсоединение;;;
;;6-8M;Hy-Lok 3/8;Hy-Lok 8mm;Подсоединение;Подсоединение;;;
;;6-10M;Hy-Lok 3/8;Hy-Lok 10mm;Подсоединение;Подсоединение;;;
;;8-6M;Hy-Lok 1/2;Hy-Lok 6mm;Подсоединение;Подсоединение;;;
;;8-8M;Hy-Lok 1/2;Hy-Lok 8mm;Подсоединение;Подсоединение;;;
;;8-10M;Hy-Lok 1/2;Hy-Lok 10mm;Подсоединение;Подсоединение;;;
;;8-12M;Hy-Lok 1/2;Hy-Lok 12mm;Подсоединение;Подсоединение;;;
