"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Заполнение глицерином","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G20-S-10M-40A-16bar","от 0 до 16бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-25bar","от 0 до 25бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-40bar","от 0 до 40бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-60bar","от 0 до 60бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-100bar","от 0 до 100бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-160bar","от 0 до 160бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-250bar","от 0 до 250бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-400bar","от 0 до 400бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40B-0,6bar","от 0 до 0.6бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-1bar","от 0 до 1бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-1,6bar","от 0 до 1.6бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-2,5bar","от 0 до 2.5бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-4bar","от 0 до 4бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-6bar","от 0 до 6бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-10bar","от 0 до 10бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-16bar","от 0 до 16бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-25bar","от 0 до 25бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-40bar","от 0 до 40бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-60bar","от 0 до 60бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-100bar","от 0 до 100бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-160bar","от 0 до 160бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-250bar","от 0 до 250бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-400bar","от 0 до 400бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40A-0,6bar","от 0 до 0.6бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-1bar","от 0 до 1бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-1,6bar","от 0 до 1.6бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-2,5bar","от 0 до 2.5бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-4bar","от 0 до 4бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-6bar","от 0 до 6бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-10bar","от 0 до 10бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-16bar","от 0 до 16бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-25bar","от 0 до 25бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-40bar","от 0 до 40бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-60bar","от 0 до 60бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-100bar","от 0 до 100бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-160bar","от 0 до 160бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-250bar","от 0 до 250бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-400bar","от 0 до 400бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40B-0,6bar","от 0 до 0.6бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-1bar","от 0 до 1бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-1,6bar","от 0 до 1.6бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-2,5bar","от 0 до 2.5бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-4bar","от 0 до 4бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-6bar","от 0 до 6бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-10bar","от 0 до 10бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-16bar","от 0 до 16бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-25bar","от 0 до 25бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-40Bar","от 0 до 40бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-60bar","от 0 до 60бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-100bar","от 0 до 100бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-160bar","от 0 до 160бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-250bar","от 0 до 250бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-400bar","от 0 до 400бар","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40A-60kPa","от 0 до 60кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-100kPa","от 0 до 100кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-160kPa","от 0 до 160кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-250kPa","от 0 до 250кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-400kPa","от 0 до 400кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-600kPa","от 0 до 600кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-1MPa","от 0 до 1МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-1,6MPa","от 0 до 1.6МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-2,5MPa","от 0 до 2.5МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-4MPa","от 0 до 4МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-6MPa","от 0 до 6МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-10MPa","от 0 до 10МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-16MPa","от 0 до 16МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-25MPa","от 0 до 25МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-40MPa","от 0 до 40МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40B-60kPa","от 0 до 60кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-100kPa","от 0 до 100кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-160kPa","от 0 до 160кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-250kPa","от 0 до 250кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-400kPa","от 0 до 400кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-600kPa","от 0 до 600кПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-1MPa","от 0 до 1МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-1,6MPa","от 0 до 1.6МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-2,5MPa","от 0 до 2.5МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-4MPa","от 0 до 4МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-6MPa","от 0 до 6МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-10MPa","от 0 до 10МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-16MPa","от 0 до 16МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-25MPa","от 0 до 25МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-40MPa","от 0 до 40МПа","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40A-60kPa","от 0 до 60кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-100kPa","от 0 до 100кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-160kPa","от 0 до 160кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-250kPa","от 0 до 250кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-400kPa","от 0 до 400кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-600kPa","от 0 до 600кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-1MPa","от 0 до 1МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-1,6MPa","от 0 до 1.6МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-2,5MPa","от 0 до 2.5МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-4MPa","от 0 до 4МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-6MPa","от 0 до 6МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-10MPa","от 0 до 10МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-16MPa","от 0 до 16МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-25MPa","от 0 до 25МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-40MPa","от 0 до 40МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40B-60kPa","от 0 до 60кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-100kPa","от 0 до 100кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-160kPa","от 0 до 160кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-250kPa","от 0 до 250кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-400kPa","от 0 до 400кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-600kPa","от 0 до 600кПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-1MPa","от 0 до 1МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-1,6MPa","от 0 до 1.6МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-2,5MPa","от 0 до 2.5МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-4MPa","от 0 до 4МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-6MPa","от 0 до 6МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-10MPa","от 0 до 10МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-16MPa","от 0 до 16МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-25MPa","от 0 до 25МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-40MPa","от 0 до 40МПа","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40A-60kPa","от 0 до 60кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-100kPa","от 0 до 100кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-160kPa","от 0 до 160кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-250kPa","от 0 до 250кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-400kPa","от 0 до 400кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-600kPa","от 0 до 600кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-1MPa","от 0 до 1МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-1,6MPa","от 0 до 1.6МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-2,5MPa","от 0 до 2.5МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-4MPa","от 0 до 4МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-6MPa","от 0 до 6МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-10MPa","от 0 до 10МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-16MPa","от 0 до 16МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-25MPa","от 0 до 25МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-40MPa","от 0 до 40МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2N-40B-60kPa","от 0 до 60кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-100kPa","от 0 до 100кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-160kPa","от 0 до 160кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-250kPa","от 0 до 250кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-400kPa","от 0 до 400кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-600kPa","от 0 до 600кПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-1MPa","от 0 до 1МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-1,6MPa","от 0 до 1.6МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-2,5MPa","от 0 до 2.5МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-4MPa","от 0 до 4МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-6MPa","от 0 до 6МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-10MPa","от 0 до 10МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-16MPa","от 0 до 16МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-25MPa","от 0 до 25МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-40MPa","от 0 до 40МПа","NPT 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40A-V0bar","от -1 до 0бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V0,6bar","от -1 до 0.6бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V1,5bar","от -1 до 1.5бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V3bar","от -1 до 3бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V5bar","от -1 до 5бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V9bar","от -1 до 9бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V15bar","от -1 до 15бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V24bar","от -1 до 24бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-2G-40B-V0bar","от -1 до 0бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V0,6bar","от -1 до 0.6бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V1,5bar","от -1 до 1.5бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V3bar","от -1 до 3бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V5bar","от -1 до 5бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V9bar","от -1 до 9бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V15bar","от -1 до 15бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V24bar","от -1 до 24бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-2G-40F-V0bar","от -1 до 0бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V0,6bar","от -1 до 0.6бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V1,5bar","от -1 до 1.5бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V3bar","от -1 до 3бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V5bar","от -1 до 5бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V9bar","от -1 до 9бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V15bar","от -1 до 15бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V24bar","от -1 до 24бар","G 1/8","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-10M-40A-V0bar","от -1 до 0бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V0,6bar","от -1 до 0.6бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V1,5bar","от -1 до 1.5бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V3bar","от -1 до 3бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V5bar","от -1 до 5бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V9bar","от -1 до 9бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V15bar","от -1 до 15бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V24bar","от -1 до 24бар","M10x1","40мм","нет","нет","<img src=assets/inventory/A.png>"
,"G20-S-10M-40B-V0bar","от -1 до 0бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V0,6bar","от -1 до 0.6бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V1,5bar","от -1 до 1.5бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V3bar","от -1 до 3бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V5bar","от -1 до 5бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V9bar","от -1 до 9бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V15bar","от -1 до 15бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V24bar","от -1 до 24бар","M10x1","40мм","нет","нет","<img src=assets/inventory/B.png>"
,"G20-S-10M-40F-V0bar","от -1 до 0бар","M10x1","40мм","нет","нет","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V0,6bar","от -1 до 0.6бар","M10x1","40мм","нет","нет","<img src=assets/inventory/F.png>"
