"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Материал корпуса","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G60-S-20M-100A-23psi-VE","от 0 до 23psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-35psi-VE","от 0 до 35psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-60psi-VE","от 0 до 60psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-85psi-VE","от 0 до 85psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-150psi-VE","от 0 до 150psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-230psi-VE","от 0 до 230psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-350psi-VE","от 0 до 350psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-600psi-VE","от 0 до 600psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-S-20M-100A-850psi-VE","от 0 до 850psi","M20x1.5","100мм","Нержавеющая сталь","да","A"
,"G60-C-8G-100A-1.6bar","от 0 до 1.6бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-2.5bar","от 0 до 2.5бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-4bar","от 0 до 4бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-6bar","от 0 до 6бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-10bar","от 0 до 10бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-16bar","от 0 до 16бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-25bar","от 0 до 25бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-40bar","от 0 до 40бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-60bar","от 0 до 60бар","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-1.6bar","от 0 до 1.6бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-2.5bar","от 0 до 2.5бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-4bar","от 0 до 4бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-6bar","от 0 до 6бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-10bar","от 0 до 10бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-16bar","от 0 до 16бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-25bar","от 0 до 25бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-40bar","от 0 до 40бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-60bar","от 0 до 60бар","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-1.6bar","от 0 до 1.6бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-2.5bar","от 0 до 2.5бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-4bar","от 0 до 4бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-6bar","от 0 до 6бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-10bar","от 0 до 10бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-16bar","от 0 до 16бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-25bar","от 0 до 25бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-40bar","от 0 до 40бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-60bar","от 0 до 60бар","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-160kPa","от 0 до 160кПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-250kPa","от 0 до 250кПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-400kPa","от 0 до 400кПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-600kPa","от 0 до 600кПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-1MPa","от 0 до 1МПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-1.6MPa","от 0 до 1.6МПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-2.5MPa","от 0 до 2.5МПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-4MPa","от 0 до 4МПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-6MPa","от 0 до 6МПа","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-160kPa","от 0 до 160кПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-250kPa","от 0 до 250кПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-400kPa","от 0 до 400кПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-600kPa","от 0 до 600кПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-1MPa","от 0 до 1МПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-1.6MPa","от 0 до 1.6МПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-2.5MPa","от 0 до 2.5МПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-4MPa","от 0 до 4МПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-6MPa","от 0 до 6МПа","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-160kPa","от 0 до 160кПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-250kPa","от 0 до 250кПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-400kPa","от 0 до 400кПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-600kPa","от 0 до 600кПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-1MPa","от 0 до 1МПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-1.6MPa","от 0 до 1.6МПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-2.5MPa","от 0 до 2.5МПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-4MPa","от 0 до 4МПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-6MPa","от 0 до 6МПа","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-23psi","от 0 до 23psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-35psi","от 0 до 35psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-60psi","от 0 до 60psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-85psi","от 0 до 85psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-150psi","от 0 до 150psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-230psi","от 0 до 230psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-350psi","от 0 до 350psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-600psi","от 0 до 600psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-850psi","от 0 до 850psi","G 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-23psi","от 0 до 23psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-35psi","от 0 до 35psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-60psi","от 0 до 60psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-85psi","от 0 до 85psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-150psi","от 0 до 150psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-230psi","от 0 до 230psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-350psi","от 0 до 350psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-600psi","от 0 до 600psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-8N-100A-850psi","от 0 до 850psi","NPT 1/2","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-23psi","от 0 до 23psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-35psi","от 0 до 35psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-60psi","от 0 до 60psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-85psi","от 0 до 85psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-150psi","от 0 до 150psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-230psi","от 0 до 230psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-350psi","от 0 до 350psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-600psi","от 0 до 600psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-20M-100A-850psi","от 0 до 850psi","M20x1.5","100мм","Углеродистая сталь","нет","A"
,"G60-C-8G-100A-1.6bar-VE","от 0 до 1.6бар","G 1/2","100мм","Углеродистая сталь","да","A"
