#,Заказной код,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Переключатель,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал поплавка,"Параметр:Заказной код:Материал деталей, контактирующих со средой",Параметр:Заказной код:Корпус / Поплавок / Детали
,EDW-602-C-1-D-1-C-1-2-A-l1=____mm,Углеродистая Сталь IP65,SPDTx2,ANSI 300# 3,SS316,SS304,сталь/SS316/SS304
,EDW-602-B-1-G10-1-A-1-1-A-l1=____mm,SS316 IP65,SPDT,Гост Py10 Dy75,SS316,SS316,SS316/SS316/SS316
,EDW-602-B-1-G10-1-A-1-2-A-l1=____mm,SS316 IP65,SPDT,Гост Py10 Dy75,SS316,SS304,SS316/SS316/SS304
,EDW-602-B-1-G10-1-C-1-1-A-l1=____mm,SS316 IP65,SPDTx2,Гост Py10 Dy75,SS316,SS316,SS316/SS316/SS316
,EDW-602-B-1-G10-1-C-1-2-A-l1=____mm,SS316 IP65,SPDTx2,Гост Py10 Dy75,SS316,SS304,SS316/SS316/SS304
,EDW-602-C-1-G10-1-A-1-1-A-l1=____mm,Углеродистая Сталь IP65,SPDT,Гост Py10 Dy75,SS316,SS316,сталь/SS316/SS316
,EDW-602-C-1-G10-1-A-1-2-A-l1=____mm,Углеродистая Сталь IP65,SPDT,Гост Py10 Dy75,SS316,SS304,сталь/SS316/SS304
,EDW-602-C-1-G10-1-C-1-1-A-l1=____mm,Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy75,SS316,SS316,сталь/SS316/SS316
,EDW-602-C-1-G10-1-C-1-2-A-l1=____mm,Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy75,SS316,SS304,сталь/SS316/SS304
,EDW-602-B-1-G16-1-A-1-1-A-l1=____mm,SS316 IP65,SPDT,Гост Py16 Dy75,SS316,SS316,SS316/SS316/SS316
,EDW-602-B-1-G16-1-A-1-2-A-l1=____mm,SS316 IP65,SPDT,Гост Py16 Dy75,SS316,SS304,SS316/SS316/SS304
,EDW-602-B-1-G16-1-C-1-1-A-l1=____mm,SS316 IP65,SPDTx2,Гост Py16 Dy75,SS316,SS316,SS316/SS316/SS316
,EDW-602-B-1-G16-1-C-1-2-A-l1=____mm,SS316 IP65,SPDTx2,Гост Py16 Dy75,SS316,SS304,SS316/SS316/SS304
,EDW-602-C-1-G16-1-A-1-1-A-l1=____mm,Углеродистая Сталь IP65,SPDT,Гост Py16 Dy75,SS316,SS316,сталь/SS316/SS316
,EDW-602-C-1-G16-1-A-1-2-A-l1=____mm,Углеродистая Сталь IP65,SPDT,Гост Py16 Dy75,SS316,SS304,сталь/SS316/SS304
,EDW-602-C-1-G16-1-C-1-1-A-l1=____mm,Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy75,SS316,SS316,сталь/SS316/SS316
,EDW-602-C-1-G16-1-C-1-2-A-l1=____mm,Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy75,SS316,SS304,сталь/SS316/SS304
,EDW-602-B-1-G25-1-A-1-1-A-l1=____mm,SS316 IP65,SPDT,Гост Py25 Dy75,SS316,SS316,SS316/SS316/SS316
,EDW-602-B-1-G25-1-A-1-2-A-l1=____mm,SS316 IP65,SPDT,Гост Py25 Dy75,SS316,SS304,SS316/SS316/SS304
,EDW-602-B-1-G25-1-C-1-1-A-l1=____mm,SS316 IP65,SPDTx2,Гост Py25 Dy75,SS316,SS316,SS316/SS316/SS316
,EDW-602-B-1-G25-1-C-1-2-A-l1=____mm,SS316 IP65,SPDTx2,Гост Py25 Dy75,SS316,SS304,SS316/SS316/SS304
,EDW-602-C-1-G25-1-A-1-1-A-l1=____mm,Углеродистая Сталь IP65,SPDT,Гост Py25 Dy75,SS316,SS316,сталь/SS316/SS316
,EDW-602-C-1-G25-1-A-1-2-A-l1=____mm,Углеродистая Сталь IP65,SPDT,Гост Py25 Dy75,SS316,SS304,сталь/SS316/SS304
,EDW-602-C-1-G25-1-C-1-1-A-l1=____mm,Углеродистая Сталь IP65,SPDTx2,Гост Py25 Dy75,SS316,SS316,сталь/SS316/SS316
,EDW-602-C-1-G25-1-C-1-2-A-l1=____mm,Углеродистая Сталь IP65,SPDTx2,Гост Py25 Dy75,SS316,SS304,сталь/SS316/SS304
,EDX-602-A-1-C-1-A-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDT,ANSI 150# 3,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-C-1-A-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDT,ANSI 150# 3,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-C-1-C-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,ANSI 150# 3,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-C-1-C-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,ANSI 150# 3,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-D-1-A-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDT,ANSI 300# 3,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-D-1-A-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDT,ANSI 300# 3,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-D-1-C-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,ANSI 300# 3,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-D-1-C-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,ANSI 300# 3,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-G10-1-A-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDT,Гост Py10 Dy75,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-G10-1-A-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDT,Гост Py10 Dy75,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-G10-1-C-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,Гост Py10 Dy75,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-G10-1-C-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,Гост Py10 Dy75,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-G16-1-A-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDT,Гост Py16 Dy75,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-G16-1-A-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDT,Гост Py16 Dy75,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-G16-1-C-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,Гост Py16 Dy75,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-G16-1-C-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,Гост Py16 Dy75,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-G25-1-A-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDT,Гост Py25 Dy75,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-G25-1-A-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDT,Гост Py25 Dy75,SS316,SS304,алюм/SS316/SS304
,EDX-602-A-1-G25-1-C-1-1-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,Гост Py25 Dy75,SS316,SS316,алюм/SS316/SS316
,EDX-602-A-1-G25-1-C-1-2-A-l1=____mm,"Алюминий, взрывозащита",SPDTx2,Гост Py25 Dy75,SS316,SS304,алюм/SS316/SS304
