#,Заказной код,Параметр:Заказной код:Подсоединение,"Параметр:Заказной код:Длина, мм",Параметр:Заказной код:Количество поплавков,"Параметр:Заказной код:Материалы, контактирующие со средой",Параметр:Заказной код:Форма контакта,Параметр:Заказной код:Размер поплавка таблица,Параметр:Заказной код:Размер поплавка
,LS-102-2-3-5-B-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,40x38 (SS316),SPDT (150V AC/DC),один B - (SS316)
,LS-102-2-3-8-B-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,40x38 (SS316),SPDT (150V AC/DC),один B - (SS316)
,LS-102-2-3-8-B-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,40x38 (SS316),SPDT (150V AC/DC),один B - (SS316)
,LS-102-2-3-8-B-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,40x38 (SS316),SPDT (150V AC/DC),один B - (SS316)
,LS-102-2-3-8-B-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,40x38 (SS316),SPDT (150V AC/DC),один B - (SS316)
,LS-103-2-1-1-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-1-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-1-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-1-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-3-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-3-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-3-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-3-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-4-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-4-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-4-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-4-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-6-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-6-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-6-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-6-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-7-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-7-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-7-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-7-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-9-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-9-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-9-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-9-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-10-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-10-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-10-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-1-10-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPST (230V AC/DC),один C - (SS316)
,LS-103-2-2-2-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPDT (250V AC/DC),один C - (SS316)
,LS-103-2-2-2-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPDT (250V AC/DC),один C - (SS316)
,LS-103-2-2-2-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPDT (250V AC/DC),один C - (SS316)
,LS-103-2-2-2-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPDT (250V AC/DC),один C - (SS316)
,LS-103-2-3-2-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-2-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-2-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-2-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-5-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-5-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-5-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-5-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-8-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-8-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-8-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-8-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-11-C-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-11-C-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-11-C-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-103-2-3-11-C-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,49x49 (SS316),SPDT (150V AC/DC),один C - (SS316)
,LS-104-2-1-1-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-1-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-1-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-1-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-3-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-3-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-3-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-3-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-4-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-4-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-4-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-4-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-6-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-6-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-6-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-6-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-7-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-7-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-7-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-7-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-9-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-9-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-9-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-9-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-10-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-10-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-10-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-1-10-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPST (230V AC/DC),один D - (SS316)
,LS-104-2-2-2-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-2-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-2-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-2-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-5-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-5-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-5-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-5-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-8-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-8-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-8-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-8-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-11-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-11-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-11-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-2-11-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (250V AC/DC),один D - (SS316)
,LS-104-2-3-2-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-2-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-2-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-2-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-5-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-5-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-5-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-5-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-8-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-8-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-8-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-8-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-11-D-L=1000mm-l1=____mm __ON,G1/2,1000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-11-D-L=2000mm-l1=____mm __ON,G1/2,2000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-11-D-L=3000mm-l1=____mm __ON,G1/2,3000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-104-2-3-11-D-L=4000mm-l1=____mm __ON,G1/2,4000,один,SS316,75x75 (SS316),SPDT (150V AC/DC),один D - (SS316)
,LS-102P-2-1-1-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-1-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-1-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-1-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-3-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-3-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-3-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-3-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-4-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-4-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-4-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-4-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-6-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-6-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-6-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-6-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-7-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-7-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-7-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-7-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
