#,Заказной код,Параметр:Заказной код:Материал,Параметр:Заказной код:Переключатель,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Тип
,LXT204-S-3-G25-1-2-2,SS304,2 SPDT,Гост Py25 Dy75,Стандартный
,LXT204-S-4-C-1-1-1,SS316,1 SPDT,ANSI 150 4,Стандартный
,LXT204-S-4-C-1-1-2,SS316,2 SPDT,ANSI 150 4,Стандартный
,LXT204-S-4-C-1-2-1,SS304,1 SPDT,ANSI 150 4,Стандартный
,LXT204-S-4-C-1-2-2,SS304,2 SPDT,ANSI 150 4,Стандартный
,LXT204-S-4-D-1-1-1,SS316,1 SPDT,ANSI 300 4,Стандартный
,LXT204-S-4-D-1-1-2,SS316,2 SPDT,ANSI 300 4,Стандартный
,LXT204-S-4-D-1-2-1,SS304,1 SPDT,ANSI 300 4,Стандартный
,LXT204-S-4-D-1-2-2,SS304,2 SPDT,ANSI 300 4,Стандартный
,LXT204-S-4-G10-1-1-1,SS316,1 SPDT,Гост Py10 Dy100,Стандартный
,LXT204-S-4-G10-1-1-2,SS316,2 SPDT,Гост Py10 Dy100,Стандартный
,LXT204-S-4-G10-1-2-1,SS304,1 SPDT,Гост Py10 Dy100,Стандартный
,LXT204-S-4-G10-1-2-2,SS304,2 SPDT,Гост Py10 Dy100,Стандартный
,LXT204-S-4-G16-1-1-1,SS316,1 SPDT,Гост Py16 Dy100,Стандартный
,LXT204-S-4-G16-1-1-2,SS316,2 SPDT,Гост Py16 Dy100,Стандартный
,LXT204-S-4-G16-1-2-1,SS304,1 SPDT,Гост Py16 Dy100,Стандартный
,LXT204-S-4-G16-1-2-2,SS304,2 SPDT,Гост Py16 Dy100,Стандартный
,LXT204-S-4-G25-1-1-1,SS316,1 SPDT,Гост Py25 Dy100,Стандартный
,LXT204-S-4-G25-1-1-2,SS316,2 SPDT,Гост Py25 Dy100,Стандартный
,LXT204-S-4-G25-1-2-1,SS304,1 SPDT,Гост Py25 Dy100,Стандартный
,LXT204-S-4-G25-1-2-2,SS304,2 SPDT,Гост Py25 Dy100,Стандартный
,LXT204-E-1-C-1-1-1,SS316,1 SPDT,ANSI 150 1-1/2,С удлиненным плечом
,LXT204-E-1-C-1-1-2,SS316,2 SPDT,ANSI 150 1-1/2,С удлиненным плечом
,LXT204-E-1-C-1-2-1,SS304,1 SPDT,ANSI 150 1-1/2,С удлиненным плечом
,LXT204-E-1-C-1-2-2,SS304,2 SPDT,ANSI 150 1-1/2,С удлиненным плечом
,LXT204-E-1-D-1-1-1,SS316,1 SPDT,ANSI 300 1-1/2,С удлиненным плечом
,LXT204-E-1-D-1-1-2,SS316,2 SPDT,ANSI 300 1-1/2,С удлиненным плечом
,LXT204-E-1-D-1-2-1,SS304,1 SPDT,ANSI 300 1-1/2,С удлиненным плечом
,LXT204-E-1-D-1-2-2,SS304,2 SPDT,ANSI 300 1-1/2,С удлиненным плечом
,LXT204-E-1-G10-1-1-1,SS316,1 SPDT,Гост Py10 Dy40,С удлиненным плечом
,LXT204-E-1-G10-1-1-2,SS316,2 SPDT,Гост Py10 Dy40,С удлиненным плечом
,LXT204-E-1-G10-1-2-1,SS304,1 SPDT,Гост Py10 Dy40,С удлиненным плечом
,LXT204-E-1-G10-1-2-2,SS304,2 SPDT,Гост Py10 Dy40,С удлиненным плечом
,LXT204-E-1-G16-1-1-1,SS316,1 SPDT,Гост Py16 Dy40,С удлиненным плечом
,LXT204-E-1-G16-1-1-2,SS316,2 SPDT,Гост Py16 Dy40,С удлиненным плечом
,LXT204-E-1-G16-1-2-1,SS304,1 SPDT,Гост Py16 Dy40,С удлиненным плечом
,LXT204-E-1-G16-1-2-2,SS304,2 SPDT,Гост Py16 Dy40,С удлиненным плечом
,LXT204-E-1-G25-1-1-1,SS316,1 SPDT,Гост Py25 Dy40,С удлиненным плечом
,LXT204-E-1-G25-1-1-2,SS316,2 SPDT,Гост Py25 Dy40,С удлиненным плечом
,LXT204-E-1-G25-1-2-1,SS304,1 SPDT,Гост Py25 Dy40,С удлиненным плечом
,LXT204-E-1-G25-1-2-2,SS304,2 SPDT,Гост Py25 Dy40,С удлиненным плечом
,LXT204-E-2-C-1-1-1,SS316,1 SPDT,ANSI 150 2,С удлиненным плечом
,LXT204-E-2-C-1-1-2,SS316,2 SPDT,ANSI 150 2,С удлиненным плечом
,LXT204-E-2-C-1-2-1,SS304,1 SPDT,ANSI 150 2,С удлиненным плечом
,LXT204-E-2-C-1-2-2,SS304,2 SPDT,ANSI 150 2,С удлиненным плечом
,LXT204-E-2-D-1-1-1,SS316,1 SPDT,ANSI 300 2,С удлиненным плечом
,LXT204-E-2-D-1-1-2,SS316,2 SPDT,ANSI 300 2,С удлиненным плечом
,LXT204-E-2-D-1-2-1,SS304,1 SPDT,ANSI 300 2,С удлиненным плечом
,LXT204-E-2-D-1-2-2,SS304,2 SPDT,ANSI 300 2,С удлиненным плечом
,LXT204-E-2-G10-1-1-1,SS316,1 SPDT,Гост Py10 Dy50,С удлиненным плечом
,LXT204-E-2-G10-1-1-2,SS316,2 SPDT,Гост Py10 Dy50,С удлиненным плечом
,LXT204-E-2-G10-1-2-1,SS304,1 SPDT,Гост Py10 Dy50,С удлиненным плечом
,LXT204-E-2-G10-1-2-2,SS304,2 SPDT,Гост Py10 Dy50,С удлиненным плечом
,LXT204-E-2-G16-1-1-1,SS316,1 SPDT,Гост Py16 Dy50,С удлиненным плечом
,LXT204-E-2-G16-1-1-2,SS316,2 SPDT,Гост Py16 Dy50,С удлиненным плечом
,LXT204-E-2-G16-1-2-1,SS304,1 SPDT,Гост Py16 Dy50,С удлиненным плечом
,LXT204-E-2-G16-1-2-2,SS304,2 SPDT,Гост Py16 Dy50,С удлиненным плечом
,LXT204-E-2-G25-1-1-1,SS316,1 SPDT,Гост Py25 Dy50,С удлиненным плечом
,LXT204-E-2-G25-1-1-2,SS316,2 SPDT,Гост Py25 Dy50,С удлиненным плечом
,LXT204-E-2-G25-1-2-1,SS304,1 SPDT,Гост Py25 Dy50,С удлиненным плечом
,LXT204-E-2-G25-1-2-2,SS304,2 SPDT,Гост Py25 Dy50,С удлиненным плечом
,LXT204-E-3-C-1-1-1,SS316,1 SPDT,ANSI 150 3,С удлиненным плечом
,LXT204-E-3-C-1-1-2,SS316,2 SPDT,ANSI 150 3,С удлиненным плечом
,LXT204-E-3-C-1-2-1,SS304,1 SPDT,ANSI 150 3,С удлиненным плечом
,LXT204-E-3-C-1-2-2,SS304,2 SPDT,ANSI 150 3,С удлиненным плечом
,LXT204-E-3-D-1-1-1,SS316,1 SPDT,ANSI 300 3,С удлиненным плечом
,LXT204-E-3-D-1-1-2,SS316,2 SPDT,ANSI 300 3,С удлиненным плечом
,LXT204-E-3-D-1-2-1,SS304,1 SPDT,ANSI 300 3,С удлиненным плечом
,LXT204-E-3-D-1-2-2,SS304,2 SPDT,ANSI 300 3,С удлиненным плечом
,LXT204-E-3-G10-1-1-1,SS316,1 SPDT,Гост Py10 Dy75,С удлиненным плечом
,LXT204-E-3-G10-1-1-2,SS316,2 SPDT,Гост Py10 Dy75,С удлиненным плечом
,LXT204-E-3-G10-1-2-1,SS304,1 SPDT,Гост Py10 Dy75,С удлиненным плечом
,LXT204-E-3-G10-1-2-2,SS304,2 SPDT,Гост Py10 Dy75,С удлиненным плечом
,LXT204-E-3-G16-1-1-1,SS316,1 SPDT,Гост Py16 Dy75,С удлиненным плечом
,LXT204-E-3-G16-1-1-2,SS316,2 SPDT,Гост Py16 Dy75,С удлиненным плечом
,LXT204-E-3-G16-1-2-1,SS304,1 SPDT,Гост Py16 Dy75,С удлиненным плечом
,LXT204-E-3-G16-1-2-2,SS304,2 SPDT,Гост Py16 Dy75,С удлиненным плечом
,LXT204-E-3-G25-1-1-1,SS316,1 SPDT,Гост Py25 Dy75,С удлиненным плечом
,LXT204-E-3-G25-1-1-2,SS316,2 SPDT,Гост Py25 Dy75,С удлиненным плечом
,LXT204-E-3-G25-1-2-1,SS304,1 SPDT,Гост Py25 Dy75,С удлиненным плечом
,LXT204-E-3-G25-1-2-2,SS304,2 SPDT,Гост Py25 Dy75,С удлиненным плечом
,LXT204-E-4-C-1-1-1,SS316,1 SPDT,ANSI 150 4,С удлиненным плечом
,LXT204-E-4-C-1-1-2,SS316,2 SPDT,ANSI 150 4,С удлиненным плечом
,LXT204-E-4-C-1-2-1,SS304,1 SPDT,ANSI 150 4,С удлиненным плечом
,LXT204-E-4-C-1-2-2,SS304,2 SPDT,ANSI 150 4,С удлиненным плечом
,LXT204-E-4-D-1-1-1,SS316,1 SPDT,ANSI 300 4,С удлиненным плечом
,LXT204-E-4-D-1-1-2,SS316,2 SPDT,ANSI 300 4,С удлиненным плечом
,LXT204-E-4-D-1-2-1,SS304,1 SPDT,ANSI 300 4,С удлиненным плечом
,LXT204-E-4-D-1-2-2,SS304,2 SPDT,ANSI 300 4,С удлиненным плечом
,LXT204-E-4-G10-1-1-1,SS316,1 SPDT,Гост Py10 Dy100,С удлиненным плечом
,LXT204-E-4-G10-1-1-2,SS316,2 SPDT,Гост Py10 Dy100,С удлиненным плечом
,LXT204-E-4-G10-1-2-1,SS304,1 SPDT,Гост Py10 Dy100,С удлиненным плечом
,LXT204-E-4-G10-1-2-2,SS304,2 SPDT,Гост Py10 Dy100,С удлиненным плечом
,LXT204-E-4-G16-1-1-1,SS316,1 SPDT,Гост Py16 Dy100,С удлиненным плечом
,LXT204-E-4-G16-1-1-2,SS316,2 SPDT,Гост Py16 Dy100,С удлиненным плечом
,LXT204-E-4-G16-1-2-1,SS304,1 SPDT,Гост Py16 Dy100,С удлиненным плечом
,LXT204-E-4-G16-1-2-2,SS304,2 SPDT,Гост Py16 Dy100,С удлиненным плечом
,LXT204-E-4-G25-1-1-1,SS316,1 SPDT,Гост Py25 Dy100,С удлиненным плечом
,LXT204-E-4-G25-1-1-2,SS316,2 SPDT,Гост Py25 Dy100,С удлиненным плечом
,LXT204-E-4-G25-1-2-1,SS304,1 SPDT,Гост Py25 Dy100,С удлиненным плечом
,LXT204-E-4-G25-1-2-2,SS304,2 SPDT,Гост Py25 Dy100,С удлиненным плечом
