#,Заказной код,"Параметр:Заказной код:Объем, литр","Параметр:Заказной код:Давление, бар",Параметр:Заказной код:Материал
,CYLA-89-1.0-15-17E-AL,1,150,Алюминий
,CYLA-111-1.7-15-17E-AL,"1,7",150,Алюминий
,CYLA-108-2.0-15-17E-AL,2,150,Алюминий
,CYLA-120-2.5-15-17E-AL,"2,5",150,Алюминий
,CYLA-140-4.0-15-17E-AL,4,150,Алюминий
,CYLA-140-5.0-15-17E-AL,5,150,Алюминий
,CYLA-102-1.0-20-17E-AL,1,200,Алюминий
,CYLA-102-2.0-20-17E-AL,2,200,Алюминий
,CYLA-111-1.0-20-17E-AL,1,200,Алюминий
,CYLA-111-2.0-20-17E-AL,2,200,Алюминий
,CYLA-111-3.0-20-17E-AL,3,200,Алюминий
,CYLA-140-4.0-20-17E-AL,4,200,Алюминий
,CYLA-140-5.0-20-17E-AL,5,200,Алюминий
